year,track_name,track_popularity,album,artist_name,artist_genres,main_genre,artist_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min
2004,Yeah! (feat. Lil Jon & Ludacris),86,Confessions (Expanded Edition),USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",hip hop,83,0.894,0.791,2,-4.699,0.112,0.0183,0.0,0.0388,0.583,105.018,4.17
2010,"Hey, Soul Sister",86,"Save Me, San Francisco (Golden Gate Edition)",Train,"['dance pop', 'neo mellow', 'pop', 'pop rock']",pop,74,0.673,0.886,1,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012,3.61
2011,Pumped Up Kicks,86,Torches,Foster The People,"['indietronica', 'modern alternative rock', 'modern rock', 'rock']",rock,72,0.733,0.71,5,-5.849,0.0292,0.145,0.115,0.0956,0.965,127.975,3.99
2011,Give Me Everything (feat. Nayer),86,Planet Pit (Deluxe Version),Pitbull,"['dance pop', 'miami hip hop', 'pop']",pop,84,0.671,0.939,8,-3.206,0.161,0.191,0.0,0.298,0.53,129.024,4.21
2011,Sure Thing,86,All I Want Is You,Miguel,"['r&b', 'urban contemporary']",r&b,79,0.684,0.607,11,-8.127,0.1,0.0267,0.000307,0.191,0.498,81.001,3.26
2012,What Makes You Beautiful,86,Up All Night,One Direction,"['boy band', 'pop', 'post-teen pop', 'talent show']",pop,84,0.726,0.787,4,-2.494,0.0737,0.009,0.0,0.0596,0.888,124.99,3.33
2013,Wake Me Up,86,TRUE,Avicii,"['dance pop', 'edm', 'pop', 'pop dance']",pop,81,0.532,0.783,2,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,4.12
2014,All of Me,86,Love In The Future (Expanded Edition),John Legend,"['neo soul', 'pop', 'pop soul', 'urban contemporary']",pop,76,0.422,0.264,8,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,4.49
2014,Maps,86,V,Maroon 5,['pop'],pop,85,0.742,0.713,1,-5.522,0.0303,0.0205,0.0,0.059,0.879,120.032,3.17
2015,The Less I Know The Better,86,Currents,Tame Impala,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",rock,80,0.64,0.74,4,-4.083,0.0284,0.0115,0.00678,0.167,0.785,116.879,3.61
2015,Shut Up and Dance,86,TALKING IS HARD,WALK THE MOON,"['dance rock', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop rock']",rock,70,0.578,0.866,1,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038,3.32
2015,Daddy Issues,86,Wiped Out!,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop']",rock,84,0.588,0.521,10,-9.461,0.0329,0.0678,0.149,0.123,0.337,85.012,4.34
2015,The Nights,86,The Days / Nights,Avicii,"['dance pop', 'edm', 'pop', 'pop dance']",pop,81,0.527,0.835,6,-5.298,0.0433,0.0166,0.0,0.249,0.654,125.983,2.94
2015,Stressed Out,86,Blurryface,Twenty One Pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",rock,82,0.734,0.637,4,-5.677,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,3.37
2016,Closer,86,Closer,The Chainsmokers,['pop'],pop,81,0.748,0.524,8,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,4.08
2016,This Is What You Came For,86,This Is What You Came For,Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",pop,86,0.631,0.927,9,-2.787,0.0332,0.199,0.119,0.148,0.465,123.962,3.7
2017,Shape of You,86,˜ (Deluxe),Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",pop,87,0.825,0.652,1,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,3.9
2017,There's Nothing Holdin' Me Back,86,Illuminate (Deluxe),Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",pop,82,0.866,0.813,11,-4.063,0.0554,0.38,0.0,0.0779,0.969,121.998,3.32
2018,Call Out My Name,86,"My Dear Melancholy,",The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",r&b,95,0.461,0.593,1,-4.954,0.0356,0.17,0.0,0.307,0.175,134.17,3.81
2018,One Kiss (with Dua Lipa),86,One Kiss (with Dua Lipa),Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",pop,86,0.791,0.862,9,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994,3.58
2019,Let Me Down Slowly,86,Narrated For You,Alec Benjamin,"['alt z', 'pop', 'pov: indie']",pop,76,0.652,0.557,1,-5.714,0.0318,0.74,0.0,0.124,0.483,150.073,2.82
2019,Circles,86,Hollywood's Bleeding,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",rap,88,0.695,0.762,0,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,3.59
2021,traitor,86,SOUR,Olivia Rodrigo,['pop'],pop,90,0.38,0.339,3,-7.885,0.0338,0.691,0.0,0.12,0.0849,100.607,3.82
2022,Me Porto Bonito,86,Un Verano Sin Ti,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",rap,95,0.911,0.712,1,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,2.98
2022,traitor,86,SOUR,Olivia Rodrigo,['pop'],pop,90,0.38,0.339,3,-7.885,0.0338,0.691,0.0,0.12,0.0849,100.607,3.82
2022,Jimmy Cooks (feat. 21 Savage),86,"Honestly, Nevermind",Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",hip hop,96,0.529,0.673,0,-4.711,0.175,0.000307,2.41e-06,0.093,0.366,165.921,3.64
2023,Kill Bill,86,SOS,SZA,"['pop', 'r&b', 'rap']",pop,91,0.644,0.735,8,-5.747,0.0391,0.0521,0.144,0.161,0.418,88.98,2.57
2023,MONACO,86,nadie sabe lo que va a pasar maÒana,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",rap,95,0.787,0.621,4,-5.009,0.068,0.15,0.000402,0.58,0.13,139.056,4.45
2023,La Bebe - Remix,86,La Bebe (Remix),Yng Lvcas,"['reggaeton', 'urbano mexicano']",,70,0.812,0.479,2,-5.678,0.333,0.213,1.21e-06,0.0756,0.559,169.922,3.91
2023,Say Yes To Heaven,86,Say Yes To Heaven,Lana Del Rey,"['art pop', 'pop']",pop,90,0.49,0.352,6,-11.577,0.0254,0.709,0.0856,0.114,0.166,99.992,3.49
2023,Fast Car,86,Gettin' Old,Luke Combs,"['contemporary country', 'country']",,84,0.712,0.603,8,-5.52,0.0262,0.186,0.0,0.115,0.67,97.994,4.42
2023,Agora Hills,86,Scarlet,Doja Cat,"['dance pop', 'pop']",pop,87,0.75,0.674,8,-6.128,0.097,0.228,8.91e-05,0.122,0.392,123.026,4.42
2001,How You Remind Me,85,Silver Side Up,Nickelback,"['alternative metal', 'canadian rock', 'post-grunge']",rock,78,0.446,0.764,10,-5.042,0.033,0.00135,0.0,0.099,0.543,172.094,3.73
2003,Seven Nation Army,85,Elephant,The White Stripes,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']",rock,71,0.743,0.446,4,-7.807,0.0683,0.0039,0.118,0.337,0.278,123.596,3.87
2004,Toxic,85,In The Zone,Britney Spears,"['dance pop', 'pop']",pop,81,0.774,0.838,5,-3.914,0.114,0.0249,0.025,0.242,0.924,143.04,3.31
2005,Feel Good Inc.,85,Demon Days,Gorillaz,"['alternative hip hop', 'modern rock', 'rock']",hip hop,79,0.818,0.705,6,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,3.71
2006,Promiscuous,85,Loose,Nelly Furtado,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",pop,77,0.808,0.97,10,-6.098,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,4.04
2007,Smack That,85,Konvicted,Akon,['dance pop'],pop,81,0.939,0.742,5,-5.171,0.0467,0.321,0.0,0.107,0.924,118.978,3.54
2008,Sex on Fire,85,Only By The Night,Kings of Leon,"['modern rock', 'rock']",rock,76,0.542,0.905,9,-5.653,0.054,0.00172,0.0104,0.136,0.374,153.398,3.39
2009,Sex on Fire,85,Only By The Night,Kings of Leon,"['modern rock', 'rock']",rock,76,0.542,0.905,9,-5.653,0.054,0.00172,0.0104,0.136,0.374,153.398,3.39
2010,Just the Way You Are,85,Doo-Wops & Hooligans,Bruno Mars,"['dance pop', 'pop']",pop,89,0.635,0.841,5,-5.379,0.0422,0.0134,0.0,0.0622,0.424,109.021,3.68
2010,Love The Way You Lie,85,Recovery,Eminem,"['detroit hip hop', 'hip hop', 'rap']",hip hop,90,0.749,0.925,10,-5.034,0.227,0.241,0.0,0.52,0.641,86.989,4.39
2010,TiK ToK,85,Animal (Expanded Edition),Kesha,"['dance pop', 'pop']",pop,79,0.755,0.837,2,-2.718,0.142,0.0991,0.0,0.289,0.714,120.028,3.33
2010,Only Girl (In The World),85,Loud (Japan Version),Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",pop,91,0.789,0.706,11,-4.233,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,3.92
2012,Thinkin Bout You,85,channel ORANGE,Frank Ocean,"['lgbtq+ hip hop', 'neo soul']",hip hop,85,0.721,0.339,0,-11.195,0.0532,0.409,0.00153,0.0973,0.2,129.83,3.35
2012,Skyfall,85,Skyfall,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",pop,85,0.346,0.552,0,-6.864,0.0282,0.417,0.0,0.114,0.0789,75.881,4.77
